train,stations
train_0,"[Venlo, Helmond, Eindhoven, s-Hertogenbosch, Utrecht Centraal, Gouda, Alphen a/d Rijn, Utrecht Centraal, Amsterdam Amstel, Amsterdam Centraal]"
train_1,"[Lelystad Centrum, Almere Centrum, Hilversum, Utrecht Centraal, Amersfoort, Zwolle, Deventer, Zutphen, Apeldoorn, Deventer]"
train_2,"[Heerlen, Sittard, Roermond, Weert, Eindhoven, Tilburg, s-Hertogenbosch, Oss, Nijmegen, Arnhem Centraal, Dieren, Zutphen, Dieren, Arnhem Centraal]"
train_3,"[Enschede, Hengelo, Almelo, Zwolle, Steenwijk, Heerenveen, Leeuwarden, Groningen, Assen]"
train_4,"[Vlissingen, Roosendaal, Dordrecht, Rotterdam Blaak, Rotterdam Alexander, Rotterdam Centraal, Schiedam Centrum, Delft, Den Haag Centraal, Leiden Centraal, Den Haag HS]"
train_5,"[Maastricht, Sittard, Maastricht, Sittard]"
train_6,"[Den Helder, Alkmaar, Castricum, Zaandam, Amsterdam Sloterdijk, Haarlem, Beverwijk, Zaandam, Hoorn, Alkmaar]"
train_7,"[Helmond, Venlo, Helmond]"
train_8,"[Utrecht Centraal, Schiphol Airport, Leiden Centraal, Den Haag Laan v NOI, Gouda, Den Haag HS, Delft, Den Haag Laan v NOI, Gouda, Den Haag Centraal]"
train_9,"[Oss, Nijmegen, Arnhem Centraal, Ede-Wageningen, Utrecht Centraal, Amsterdam Centraal, Amsterdam Sloterdijk, Amsterdam Zuid, Amsterdam Amstel, Almere Centrum, Amsterdam Centraal]"
train_10,"[Leiden Centraal, Heemstede-Aerdenhout, Haarlem, Amsterdam Sloterdijk, Amsterdam Centraal]"
train_11,"[Den Haag Centraal, Gouda, Rotterdam Alexander, Gouda]"
train_12,"[Den Haag Laan v NOI, Gouda, Rotterdam Alexander]"
train_13,"[Alkmaar, Den Helder, Alkmaar]"
train_14,"[Nijmegen, Oss, s-Hertogenbosch]"
train_15,"[Etten-Leur, Breda, Dordrecht, Rotterdam Centraal, Schiedam Centrum, Rotterdam Blaak, Dordrecht]"
train_16,"[Rotterdam Alexander, Rotterdam Centraal, Schiedam Centrum]"
train_17,"[Breda, Tilburg, Breda, Etten-Leur, Roosendaal]"
train_18,"[Alkmaar, Castricum, Beverwijk, Castricum]"
train_19,"[Groningen, Leeuwarden, Groningen]"
score,5418.842696629214
