train,stations
train_0,"[Lelystad Centrum, Almere Centrum, Hilversum, Amsterdam Amstel, Almere Centrum, Amsterdam Centraal, Amsterdam Amstel, Utrecht Centraal, Schiphol Airport]"
train_1,"[Roermond, Sittard, Heerlen, Sittard, Maastricht, Sittard, Maastricht, Sittard, Maastricht, Sittard, Heerlen, Sittard]"
train_2,"[Venlo, Helmond, Eindhoven, Weert, Roermond, Sittard, Roermond, Weert, Roermond, Weert, Eindhoven]"
train_3,"[Rotterdam Alexander, Rotterdam Blaak, Schiedam Centrum, Delft, Den Haag Laan v NOI, Leiden Centraal, Schiphol Airport, Amsterdam Zuid, Amsterdam Sloterdijk, Haarlem, Heemstede-Aerdenhout, Leiden Centraal, Den Haag HS, Gouda, Den Haag Centraal, Delft]"
train_4,"[Beverwijk, Castricum, Zaandam, Amsterdam Sloterdijk, Amsterdam Centraal, Utrecht Centraal, Alphen a/d Rijn, Leiden Centraal, Den Haag Centraal, Delft, Den Haag HS, Gouda, Utrecht Centraal]"
train_5,"[Etten-Leur, Roosendaal, Vlissingen, Roosendaal, Dordrecht, Breda]"
train_6,"[Hilversum, Utrecht Centraal, s-Hertogenbosch, Eindhoven, Tilburg, Breda, Etten-Leur, Roosendaal, Dordrecht, Rotterdam Blaak, Dordrecht, Rotterdam Centraal]"
train_7,"[Roosendaal, Dordrecht, Rotterdam Blaak, Rotterdam Alexander, Gouda, Den Haag Laan v NOI, Gouda, Alphen a/d Rijn, Utrecht Centraal, Amersfoort]"
train_8,"[Beverwijk, Haarlem, Amsterdam Sloterdijk, Zaandam, Hoorn, Alkmaar, Den Helder, Alkmaar, Castricum, Zaandam]"
train_9,"[Dieren, Zutphen, Deventer, Apeldoorn, Zutphen, Apeldoorn, Amersfoort, Zwolle, Deventer, Almelo]"
train_10,"[Amersfoort, Zwolle, Almelo, Hengelo, Enschede, Hengelo, Enschede, Hengelo, Almelo, Zwolle]"
train_11,"[Amsterdam Amstel, Amsterdam Zuid, Amsterdam Sloterdijk, Amsterdam Zuid, Schiphol Airport, Utrecht Centraal, Ede-Wageningen, Arnhem Centraal, Nijmegen, Oss, s-Hertogenbosch, Tilburg]"
train_12,"[Deventer, Almelo, Hengelo, Almelo, Zwolle, Assen, Groningen, Leeuwarden]"
train_13,"[Alphen a/d Rijn, Gouda, Rotterdam Alexander, Rotterdam Centraal, Schiedam Centrum, Rotterdam Centraal, Dordrecht, Breda, Tilburg, Breda, Dordrecht, Breda, Tilburg, Eindhoven]"
train_14,"[Deventer, Almelo, Deventer, Zwolle, Steenwijk, Heerenveen, Leeuwarden, Heerenveen, Steenwijk]"
train_15,"[Apeldoorn, Deventer, Almelo, Deventer, Almelo, Zwolle, Assen]"
train_16,"[Rotterdam Alexander, Rotterdam Centraal, Rotterdam Alexander, Gouda, Alphen a/d Rijn, Gouda, Den Haag HS, Gouda, Utrecht Centraal, Amersfoort, Apeldoorn, Deventer]"
train_17,"[Eindhoven, s-Hertogenbosch, Oss, Nijmegen, Arnhem Centraal, Dieren, Arnhem Centraal, Ede-Wageningen, Utrecht Centraal, Ede-Wageningen, Utrecht Centraal]"
score,5116.0
